Name,Age,Club,Nationality,Position,Appearances,Assist,Distance / 90 minutes,Goals,Conceded,Interception,Key Passes,Pass Attempt / 90 minutes,Pass Completed / 90 minutes,Shots on Target,Shots,Tackle Attempt,Tackle Won,Shutouts,Performance,Club_Category
James Milner,34,Liverpool,ENG,Midfielder,19,5,8.4,0,0,76,39,53.71,37.41,5,12,49,41,0,Good,English
Javier Eraso,29,Rayo,ESP,Midfielder,26,3,5.5,3,0,66,14,30.31,24.35,10,21,121,69,0,Normal,Spanish
Douglas Costa,29,Tottenham,BRA,Midfielder,30,6,8.3,6,0,58,120,43.97,33.29,22,49,77,47,0,Good,English
Samu Castillejo,25,Southampton,ESP,Midfielder,36,5,7.4,3,0,54,88,38.27,26.57,26,66,77,44,0,Good,English
Sergio Ramos,33,R. Madrid,ESP,Defender,18,0,5.2,2,0,75,4,33.98,25.66,2,6,84,76,0,Good,Spanish
Mikel Garate,20,R. Sociedad,ESP,Midfielder,18,3,4.7,6,0,32,6,23.88,17.32,13,23,20,10,0,Normal,Spanish
Ben Osborn,25,Brentford,ENG,Midfielder,27,3,8.4,2,0,87,38,44.83,31.17,9,16,98,58,0,Normal,English
Matthew Targett,24,Southampton,ENG,Defender,37,3,7.3,1,0,311,73,50.5,38.52,5,12,287,230,0,Good,English
Diego,22,R. Betis,ESP,Midfielder,20,2,4.9,1,0,26,6,34.45,23.58,2,10,25,15,0,Normal,Spanish
Nathan Redmond,25,Stoke,ENG,Midfielder,21,0,8.8,3,0,77,42,37.31,25.97,10,20,121,80,0,Normal,English
Pepe Castaño,21,Villarreal,ESP,Defender,6,0,4.2,0,0,21,0,22.68,17.77,0,0,24,20,0,Normal,Spanish
Toni Kroos,30,R. Madrid,GER,Midfielder,41,10,5.4,1,0,106,51,62.35,54.18,8,22,114,72,0,Normal,Spanish
Kawikue dos Santos,20,Córdoba,POR,Defender,23,3,5.1,1,0,70,9,23.39,17.66,1,8,88,62,0,Normal,Spanish
Luka Modric,34,R. Madrid,CRO,Midfielder,19,1,5.3,0,0,18,3,65.45,47.05,0,5,35,22,0,Bad,Spanish
Migue García,28,Albacete,ESP,Midfielder,5,1,3.7,0,0,3,1,32.95,17.68,0,1,5,3,0,Bad,Spanish
James Ward-Prowse,25,Newcastle,ENG,Midfielder,38,3,8.2,2,0,110,139,65.09,49.88,12,36,145,101,0,Good,English
Omar Elabdellaoui,28,Sevilla,NOR,Defender,28,3,5.4,1,0,42,6,28.85,17.5,2,21,106,78,0,Bad,Spanish
Fabian Wiesner,19,Everton,GER,Defender,19,0,5.8,0,0,166,3,29.6,21.29,1,4,59,54,0,Good,English
Stephan El Shaarawy,27,Atlético,ITA,Midfielder,13,2,4.9,5,0,6,6,29.32,16.71,15,24,16,7,0,Normal,Spanish
Stefano Sturaro,26,Leicester,ITA,Midfielder,27,4,8.1,3,0,206,86,72.39,57.38,7,28,117,88,0,Good,English
Jagoba Martín,19,West Ham,ESP,Midfielder,6,0,7.0,1,0,6,8,39.4,30.0,2,2,13,10,0,Normal,English
Ivan Rakitic,31,FC Barcelona,CRO,Midfielder,35,3,5.1,3,0,44,21,50.69,40.87,15,42,87,53,0,Normal,Spanish
Ángel Correa,24,Atlético,ARG,Midfielder,21,6,5.0,3,0,23,14,47.98,30.09,9,31,25,15,0,Normal,Spanish
Grzegorz Krychowiak,30,Sevilla,POL,Defender,31,0,5.6,2,0,134,5,22.29,18.42,4,17,156,128,0,Good,Spanish
Ibrahim Diallo,23,Valencia,MLI,Defender,12,1,4.7,0,0,32,3,23.81,19.01,2,11,32,27,0,Bad,Spanish
Óliver,25,Atlético,ESP,Midfielder,34,9,5.2,8,0,47,66,61.89,41.57,23,51,44,24,0,Normal,Spanish
José Giménez,25,Atlético,URU,Defender,34,8,5.0,1,0,191,13,30.14,25.05,3,15,150,122,0,Good,Spanish
Ander Iturraspe,30,Athletic,ESP,Midfielder,19,2,4.4,0,0,49,4,35.42,29.72,1,7,71,53,0,Normal,Spanish
Francis Coquelin,28,Arsenal,FRA,Midfielder,24,1,8.0,0,0,86,37,49.3,40.16,1,9,75,60,0,Normal,English
Jordon Ibe,24,Liverpool,ENG,Midfielder,23,2,8.7,0,0,63,61,38.34,27.2,10,25,62,41,0,Good,English
Stefan Savic,29,Atlético,MNE,Defender,22,2,4.2,1,0,71,3,23.41,18.83,1,4,88,71,0,Normal,Spanish
Joan Jordán,25,Rayo,ESP,Midfielder,21,1,4.4,0,0,12,1,34.13,21.04,0,2,39,25,0,Bad,Spanish
Bruma,25,Chelsea,POR,Midfielder,29,3,8.5,2,0,49,69,37.79,27.39,17,41,70,34,0,Good,English
Adam Clayton,31,Middlesbrough,ENG,Midfielder,19,1,7.8,0,0,132,18,52.91,40.11,6,20,81,60,0,Normal,English
Léo Baptistão,27,Swansea,BRA,Midfielder,29,5,7.4,6,0,25,92,36.98,25.9,38,96,64,24,0,Good,English
Cauley Woodrow,25,Brighton,ENG,Midfielder,26,5,6.9,8,0,22,53,30.55,22.71,27,58,51,31,0,Normal,English
Nacer Chadli,30,Everton,BEL,Midfielder,22,3,7.8,3,0,30,35,43.15,29.71,15,27,26,15,0,Normal,English
Ben Garratt,25,West Ham,ENG,Goalkeeper,33,0,2.8,0,49,1,1,29.55,12.6,0,0,0,0,7,Normal,English
Juanfran,31,Watford,ESP,Defender,5,0,8.8,1,0,11,5,49.94,35.38,3,4,8,6,0,Bad,English
Oscar Duarte,30,Rayo,CRC,Defender,28,2,4.3,1,0,99,2,19.36,15.04,3,14,130,100,0,Normal,Spanish
Alexis Sánchez,31,Arsenal,CHI,Midfielder,32,6,7.0,8,0,29,200,32.96,25.8,37,66,66,32,0,Good,English
Jonny Williams,26,Brentford,WAL,Midfielder,19,1,7.8,0,0,38,14,52.0,40.24,0,10,55,31,0,Normal,English
Stanisa Mandic,24,Granada,MNE,Midfielder,22,0,4.4,4,0,24,2,24.19,13.43,16,31,19,7,0,Bad,Spanish
Mousa Dembélé,32,Newcastle,BEL,Defender,10,0,8.2,0,0,31,28,67.97,55.01,1,9,38,29,0,Normal,English
Sodiq Fatai,23,Getafe,NGA,Midfielder,24,2,4.5,2,0,23,6,22.1,11.09,11,36,8,3,0,Bad,Spanish
Srdjan Babic,23,R. Sociedad,SRB,Defender,37,5,4.5,1,0,134,11,22.68,17.45,2,21,180,151,0,Normal,Spanish
Dominic Solanke,22,Middlesbrough,NGA,Midfielder,13,1,6.7,4,0,8,9,23.24,18.05,12,20,9,4,0,Normal,English
Matthew Ramsey,20,Man Utd,ENG,Defender,13,8,8.4,2,0,103,69,58.92,48.83,8,17,91,75,0,Good,English
Dries Mertens,32,R. Sociedad,BEL,Midfielder,33,3,4.7,7,0,31,23,38.53,23.42,17,42,28,14,0,Normal,Spanish
Oriol Romeu,28,Villarreal,ESP,Midfielder,30,5,5.3,1,0,58,9,36.51,30.85,2,6,100,75,0,Normal,Spanish
Lucas Ventura,21,Espanyol,BRA,Midfielder,8,0,4.6,1,0,7,1,33.59,26.36,1,4,22,14,0,Bad,Spanish
Markel Susaeta,32,Athletic,ESP,Midfielder,25,2,4.5,4,0,28,9,26.72,16.0,17,59,14,6,0,Normal,Spanish
Jefferson Ríos,20,Córdoba,ESP,Midfielder,11,0,4.4,2,0,24,4,56.78,40.41,5,11,10,6,0,Normal,Spanish
Willian,31,Chelsea,BRA,Midfielder,38,8,8.3,3,0,78,78,44.7,32.59,15,38,117,82,0,Normal,English
Sabin,28,Athletic,ESP,Midfielder,25,2,4.3,6,0,13,3,23.23,15.73,17,53,38,16,0,Bad,Spanish
Danny Drinkwater,29,Leicester,ENG,Midfielder,28,2,7.9,2,0,148,44,59.89,47.08,6,21,145,115,0,Normal,English
Ignacio Camacho,29,Valencia,ESP,Defender,24,3,5.5,1,0,71,7,34.38,29.74,3,13,92,73,0,Bad,Spanish
Antonio Mesa,23,Córdoba,ESP,Defender,15,0,4.2,0,0,52,2,20.08,15.02,1,4,63,48,0,Normal,Spanish
Luciano Vietto,26,Liverpool,ARG,Striker,18,0,7.3,9,0,10,34,21.36,16.72,24,46,20,6,0,Good,English
Javi Ramírez,25,Córdoba,ESP,Defender,9,0,4.3,0,0,20,0,21.93,16.73,0,1,33,26,0,Bad,Spanish
Wilfried Zaha,27,Crystal Palace,ENG,Midfielder,28,5,8.5,5,0,73,73,34.44,24.19,21,49,66,36,0,Good,English
David Carmona,23,Sevilla,ESP,Defender,19,2,4.5,1,0,21,3,23.59,13.46,6,20,31,21,0,Bad,Spanish
Pau Cendrós,32,Córdoba,ESP,Defender,25,3,4.4,0,0,56,6,24.28,17.58,0,10,110,80,0,Bad,Spanish
Paul Pogba,26,Man Utd,FRA,Midfielder,29,8,7.8,2,0,134,196,64.73,54.38,39,92,87,70,0,Good,English
Sasa Markovic,28,Córdoba,SRB,Midfielder,21,0,4.3,1,0,39,0,34.23,27.89,1,13,70,53,0,Bad,Spanish
Jack Baldwin,26,Brighton,ENG,Defender,29,1,6.3,2,0,397,12,42.64,29.36,4,17,116,100,0,Good,English
Dininho,18,Crystal Palace,BRA,Defender,30,6,8.3,1,0,222,68,54.34,39.79,4,14,152,117,0,Good,English
Yamil Asad,25,Celta,ARG,Midfielder,34,11,5.0,8,0,32,25,36.4,22.55,28,59,44,28,0,Normal,Spanish
Thomas Foket,25,Brentford,BEL,Defender,31,1,7.6,0,0,272,44,40.32,28.12,1,6,169,115,0,Normal,English
Chris Smalling,30,Man Utd,ENG,Defender,18,2,6.1,1,0,236,18,46.5,38.25,8,36,99,89,0,Good,English
Sedeño,23,Córdoba,ESP,Defender,5,0,4.7,0,0,12,1,31.61,19.79,0,1,22,16,0,Bad,Spanish
Édgar,30,Deportivo,ESP,Midfielder,21,1,4.3,0,0,15,2,24.65,13.53,5,15,30,10,0,Bad,Spanish
Kristoffer Knudsen,20,Córdoba,NOR,Striker,8,0,5.1,1,0,6,2,21.28,10.74,5,17,8,3,0,Bad,Spanish
Kamil Grabara,21,Liverpool,POL,Goalkeeper,5,0,2.6,0,1,0,0,20.73,8.72,0,0,0,0,4,Good,English
Niklas Süle,24,Tottenham,GER,Defender,35,0,6.1,0,0,489,2,46.67,33.92,4,18,211,173,0,Good,English
Daniel Bragança,20,Córdoba,POR,Midfielder,6,2,4.8,0,0,7,3,46.51,38.36,0,1,21,15,0,Normal,Spanish
Lucas Souza,29,Córdoba,BRA,Midfielder,19,0,5.1,2,0,49,2,31.12,24.96,2,5,87,65,0,Bad,Spanish
Ole Kristian Selnæs,25,Southampton,NOR,Midfielder,34,2,7.6,3,0,110,90,69.83,52.36,16,35,137,102,0,Good,English
Ángelo Henríquez,25,Aston Villa,CHI,Striker,6,0,6.7,9,0,3,15,20.06,17.57,13,20,9,4,0,Good,English
Rafa Gálvez,26,Córdoba,ESP,Defender,28,4,4.7,1,0,75,26,35.82,29.41,3,13,151,113,0,Bad,Spanish
José Gayà,24,Valencia,ESP,Defender,40,4,5.4,1,0,133,18,34.27,22.71,2,15,159,119,0,Normal,Spanish
Lucas,31,Sevilla,ESP,Midfielder,25,4,4.5,5,0,39,7,29.06,18.51,15,36,23,11,0,Normal,Spanish
David De Gea,29,Man Utd,ESP,Goalkeeper,34,0,2.8,0,20,7,1,25.06,21.26,0,0,0,0,18,Good,English
Alen Halilovic,23,Swansea,CRO,Midfielder,28,4,8.4,4,0,60,100,51.51,35.1,18,61,80,45,0,Good,English
Pierre-Emerick Aubameyang,30,Valencia,GAB,Midfielder,39,2,4.9,22,0,58,8,22.54,13.0,78,126,11,5,0,Bad,Spanish
Oscar,28,Chelsea,BRA,Midfielder,39,7,8.3,4,0,75,105,55.03,40.29,32,59,88,62,0,Good,English
Andreas Beck,32,Villarreal,GER,Defender,28,1,5.5,2,0,78,6,28.37,22.57,2,6,116,89,0,Bad,Spanish
José Ramón Paredes,20,Ponferradina,ESP,Striker,5,0,3.7,6,0,5,1,20.8,9.4,9,11,0,0,0,Good,Other
David Peña,20,Valencia,ESP,Midfielder,5,0,4.6,2,0,5,0,26.49,14.81,5,14,5,3,0,Bad,Spanish
Dodô,28,Watford,BRA,Defender,13,1,8.2,0,0,51,8,45.0,30.7,0,3,29,23,0,Normal,English
Saúl,25,Córdoba,ESP,Defender,12,0,4.9,3,0,19,3,24.48,17.91,6,9,25,18,0,Bad,Spanish
Mikel San José,30,Athletic,ESP,Defender,20,0,4.3,1,0,41,3,24.39,19.9,3,8,93,77,0,Bad,Spanish
David Lombán,32,Granada,ESP,Defender,26,1,4.2,0,0,54,6,21.84,17.6,1,4,118,96,0,Bad,Spanish
Luka Gucek,21,Getafe,SVN,Defender,23,5,4.7,0,0,74,8,24.55,18.51,1,14,100,78,0,Normal,Spanish
Iñaki Williams,25,Athletic,LBR,Midfielder,28,1,4.9,9,0,16,1,23.5,12.69,26,57,30,11,0,Bad,Spanish
Jordan Henderson,29,Liverpool,ENG,Midfielder,29,4,7.8,0,0,154,61,52.74,41.23,1,12,133,106,0,Good,English
Iago Falqué,30,Celta,ESP,Midfielder,17,2,3.8,1,0,12,8,38.84,21.35,1,11,14,7,0,Normal,Spanish
Jacinto,18,Girona,ESP,Midfielder,19,3,4.2,5,0,43,7,50.39,39.97,9,18,47,31,0,Normal,Other
Samuel,29,Villarreal,ESP,Midfielder,8,0,5.0,0,0,4,1,33.8,20.83,5,15,6,3,0,Bad,Spanish
Andrés Cubas,23,Man Utd,ARG,Midfielder,19,0,7.4,0,0,119,25,55.4,49.8,5,13,99,85,0,Normal,English
Simon Gustafson,25,Tottenham,SWE,Midfielder,6,0,7.6,0,0,36,9,62.26,52.56,2,5,23,20,0,Normal,English
Idrissa Gueye,30,Aston Villa,SEN,Midfielder,25,3,8.1,0,0,68,35,53.06,42.92,2,12,68,49,0,Normal,English
Adil Rami,34,R. Sociedad,FRA,Defender,30,0,4.9,2,0,78,3,24.93,19.84,4,13,113,91,0,Bad,Spanish
Pablo Fornals,24,Málaga,ESP,Midfielder,26,4,4.3,3,0,32,11,37.46,25.41,13,33,76,49,0,Normal,Spanish
Matheus Pereira,22,Man Utd,BRA,Midfielder,16,1,7.7,7,0,26,62,45.9,37.78,24,44,42,23,0,Good,English
Oscar Lewicki,27,Swansea,SWE,Midfielder,30,0,7.5,1,0,216,25,48.88,38.81,4,9,155,127,0,Normal,English
Marc Valiente,32,Getafe,ESP,Defender,21,1,4.3,0,0,70,4,27.29,23.59,0,6,90,72,0,Normal,Spanish
Joshua Kimmich,25,FC Barcelona,GER,Midfielder,41,2,5.8,5,0,40,25,47.66,38.47,18,37,121,78,0,Normal,Spanish
George Thorne,27,Crystal Palace,ENG,Midfielder,15,1,7.7,1,0,59,34,63.36,46.68,3,6,46,35,0,Good,English
David López,30,Villarreal,ESP,Defender,28,1,4.7,0,0,70,4,29.49,24.04,1,5,130,100,0,Bad,Spanish
Jhon Córdoba,26,West Ham,COL,Striker,22,2,7.4,6,0,45,54,39.19,27.28,20,52,57,25,0,Normal,English
Jonathan Tah,24,R. Madrid,GER,Defender,36,4,4.5,1,0,211,19,31.83,25.94,4,15,173,157,0,Good,Spanish
Douglas Abner,24,Villarreal,BRA,Striker,25,1,4.8,5,0,14,2,22.69,12.5,19,45,28,11,0,Bad,Spanish
Thorgan Hazard,26,Aston Villa,BEL,Midfielder,24,1,6.8,5,0,20,91,40.64,28.83,19,47,30,16,0,Good,English
Luca Bittante,26,Levante,ITA,Defender,24,0,4.1,3,0,51,3,29.47,23.08,6,17,84,65,0,Bad,Spanish
Àlex Corredera,23,Deportivo,ESP,Midfielder,9,0,4.1,0,0,1,0,35.48,22.07,0,2,13,6,0,Bad,Spanish
Alberto Moreno,27,Liverpool,ESP,Defender,18,0,7.6,1,0,141,21,40.33,28.02,4,8,97,82,0,Good,English
Moses Odubajo,26,Newcastle,NGA,Defender,14,3,8.7,0,0,44,49,51.84,42.65,6,15,41,29,0,Normal,English
Aaron Ramsey,29,Arsenal,WAL,Midfielder,28,2,8.2,1,0,71,81,48.25,37.34,12,32,96,77,0,Good,English
Álvaro Medrán,25,Levante,ESP,Midfielder,27,1,4.8,7,0,53,11,38.04,25.32,17,49,67,38,0,Normal,Spanish
Pau López,25,Espanyol,ESP,Goalkeeper,26,0,1.6,0,41,0,0,13.33,4.94,0,0,8,5,2,Bad,Spanish
Juninho,20,Villarreal,BRA,Defender,19,0,4.1,0,0,12,1,22.07,14.87,1,5,65,49,0,Bad,Spanish
Óscar Arroyo,26,Albacete,ESP,Defender,18,0,4.9,1,0,24,0,22.76,16.19,2,10,73,54,0,Bad,Spanish
Raúl García,33,Athletic,ESP,Midfielder,5,0,4.8,2,0,9,0,34.55,22.35,5,5,2,1,0,Bad,Spanish
Daniel Wass,30,Celta,DEN,Defender,41,5,5.0,5,0,71,9,32.28,25.84,17,47,159,109,0,Bad,Spanish
Chema,28,Rayo,ESP,Defender,17,0,4.2,0,0,50,3,20.41,15.72,0,3,73,57,0,Bad,Spanish
Jake Bidwell,26,Brighton,ENG,Defender,33,4,7.5,1,0,305,51,48.68,34.69,5,10,206,163,0,Good,English
Aitor Cantalapiedra,24,Albacete,ESP,Midfielder,26,3,4.6,1,0,26,6,22.17,11.79,5,17,41,17,0,Bad,Spanish
José Antonio Larrazabal,20,R. Sociedad,ESP,Defender,9,0,4.6,0,0,6,1,21.74,13.89,0,0,19,16,0,Bad,Spanish
Eric Bailly,25,Arsenal,CIV,Defender,34,1,6.2,5,0,351,7,37.3,27.43,8,24,108,94,0,Good,English
Benjamin Stambouli,29,Everton,FRA,Defender,24,1,7.7,0,0,183,29,53.6,41.83,6,18,159,128,0,Good,English
Jordan Amavi,25,Aston Villa,FRA,Defender,32,3,7.8,1,0,216,76,49.43,34.29,5,10,257,201,0,Good,English
Asier Illarramendi,29,R. Sociedad,ESP,Midfielder,30,6,5.6,3,0,101,26,44.78,37.44,6,11,135,81,0,Normal,Spanish
Lars Bender,30,Atlético,GER,Defender,37,1,6.4,2,0,79,6,37.15,30.73,12,28,122,84,0,Bad,Spanish
Hirving Lozano,24,Chelsea,MEX,Midfielder,10,0,8.1,1,0,18,20,34.14,23.21,10,14,29,17,0,Normal,English
Brandon Thomas,25,Deportivo,ESP,Midfielder,31,2,4.3,3,0,27,6,20.87,13.7,9,27,18,9,0,Bad,Spanish
Memphis Depay,26,Atlético,NED,Midfielder,39,7,5.4,18,0,54,55,42.48,26.47,58,142,38,21,0,Normal,Spanish
Carlos Vela,31,R. Sociedad,MEX,Midfielder,35,5,4.0,5,0,31,19,39.3,23.08,20,49,35,21,0,Normal,Spanish
Francisco Jose Gómez,20,Atromitos,ESP,Striker,5,0,4.7,3,0,5,0,18.39,9.2,4,6,1,0,0,Good,Other
Hulk,18,Alcorcón,BRA,Striker,22,0,4.2,8,0,16,2,29.42,16.24,28,55,16,5,0,Normal,Other
Sergio Álvarez,33,Celta,ESP,Goalkeeper,32,0,1.6,0,46,0,0,19.5,10.81,0,0,0,0,8,Normal,Spanish
Vurnon Anita,30,Newcastle,NED,Midfielder,6,0,7.7,1,0,18,4,56.17,47.72,1,3,13,10,0,Normal,English
Cristo González,22,Middlesbrough,ESP,Midfielder,16,3,6.6,8,0,11,67,32.6,22.56,19,39,27,6,0,Good,English
Tuur Dierckx,24,Málaga,BEL,Midfielder,22,3,4.0,4,0,8,3,23.88,11.94,11,36,33,15,0,Bad,Spanish
Raúl Albiol,34,Watford,ESP,Defender,17,0,6.2,0,0,140,3,37.49,26.61,1,2,48,40,0,Good,English
Philipp Schobesberger,26,Brentford,AUT,Midfielder,7,0,8.4,0,0,15,4,41.52,25.91,1,1,22,9,0,Normal,English
Marios Oikonomou,27,Crystal Palace,GRE,Defender,7,0,5.8,0,0,70,2,38.4,27.0,1,2,21,16,0,Good,English
Sean Klaiber,25,Everton,NED,Defender,21,1,8.0,0,0,158,44,54.52,42.22,5,8,176,131,0,Good,English
Nacho López,32,Albacete,ESP,Defender,7,0,4.1,0,0,22,0,30.14,23.57,0,4,32,25,0,Normal,Spanish
Koo Ja-Cheol,31,Leicester,KOR,Midfielder,7,2,8.5,1,0,12,17,60.32,46.15,1,5,12,8,0,Good,English
Emre Taşdemir,24,Valencia,TUR,Defender,6,0,4.9,0,0,4,0,23.02,15.35,0,1,17,12,0,Bad,Spanish
Pedro Mosquera,31,Deportivo,ESP,Midfielder,28,5,4.6,1,0,25,16,40.36,26.72,1,7,66,39,0,Normal,Spanish
Michael Anaba,26,Elche,GHA,Midfielder,23,1,4.9,0,0,16,4,30.44,17.79,1,10,38,19,0,Bad,Spanish
Marouane Fellaini,32,Olympique Lyonnais,BEL,Defender,30,3,5.7,2,0,40,6,35.48,23.37,9,25,97,66,0,Bad,Other
Andrés Iniesta,35,Málaga,ESP,Midfielder,13,0,4.1,0,0,14,2,60.42,41.62,2,5,27,14,0,Bad,Spanish
Bruno Méndez,20,Alavés,URU,Striker,24,5,4.4,11,0,38,9,19.84,12.72,45,81,6,3,0,Good,Spanish
Joe Gomez,22,Liverpool,ENG,Defender,22,0,6.4,0,0,277,6,38.53,27.2,0,4,95,77,0,Good,English
Nicolaj Thomsen,26,Deportivo,DEN,Midfielder,27,8,5.3,5,0,39,17,37.82,23.42,13,23,31,16,0,Normal,Spanish
Diego Godín,34,Atlético,URU,Defender,26,0,5.1,1,0,159,2,31.31,26.15,1,9,130,108,0,Good,Spanish
Jeroen Zoet,29,Aston Villa,NED,Goalkeeper,38,0,2.7,0,45,0,0,25.85,16.67,0,0,0,0,13,Normal,English
Cenk Tosun,28,Deportivo,TUR,Midfielder,30,1,4.8,10,0,20,3,22.36,15.59,42,97,25,9,0,Bad,Spanish
Luca Sangalli,25,Córdoba,ESP,Midfielder,24,1,4.5,6,0,20,20,35.43,22.46,11,40,4,3,0,Normal,Spanish
Hernâni,28,Espanyol,POR,Midfielder,25,4,4.0,2,0,15,10,23.88,12.82,13,34,29,13,0,Normal,Spanish
Davide Zappacosta,27,Swansea,ITA,Defender,30,1,8.3,1,0,334,81,54.48,39.12,3,6,179,151,0,Good,English
Andros Townsend,28,West Ham,ENG,Midfielder,14,4,8.8,1,0,27,27,41.3,30.47,9,33,25,9,0,Normal,English
Ryan Shawcross,32,Stoke,ENG,Defender,29,0,6.2,1,0,364,1,30.55,17.57,2,5,128,114,0,Good,English
Julen Arellano,23,Aston Villa,ESP,Defender,13,0,7.8,0,0,60,32,52.14,38.06,0,1,74,51,0,Normal,English
Aymen Abdennour,30,Valencia,TUN,Defender,33,3,4.7,1,0,107,5,23.26,18.93,1,7,152,129,0,Normal,Spanish
Juan Cámara,26,Elche,ESP,Midfielder,26,1,4.4,0,0,21,7,32.68,18.5,4,10,37,18,0,Bad,Spanish
Lamine Koné,31,Sunderland,CIV,Defender,31,0,6.2,1,0,339,5,32.37,20.34,3,7,90,81,0,Good,English
Adrien,30,Arsenal,POR,Midfielder,23,1,8.3,0,0,48,48,55.77,44.28,2,7,38,31,0,Normal,English
John Stones,25,Man City,ENG,Defender,39,0,6.4,4,0,487,21,45.7,34.05,6,13,130,111,0,Good,English
Nicolás Schiappacasse,21,Atromitos,URU,Striker,18,2,4.9,3,0,6,2,26.1,15.33,15,30,17,6,0,Normal,Other
Jack Cork,30,Swansea,ENG,Midfielder,17,1,7.8,1,0,38,7,48.42,37.02,2,3,30,20,0,Normal,English
Florin Andone,26,Aston Villa,ROU,Striker,12,3,6.9,3,0,9,35,28.56,20.87,11,28,9,3,0,Normal,English
Toño,30,Granada,ESP,Defender,29,5,4.8,0,0,85,9,25.37,19.82,0,2,120,86,0,Bad,Spanish
Alejandro Arribas,30,Deportivo,ESP,Defender,29,1,4.5,2,0,116,5,20.03,16.14,2,7,152,127,0,Normal,Spanish
James McCarthy,29,Everton,IRL,Midfielder,18,0,7.2,0,0,151,19,45.0,36.12,1,3,134,112,0,Normal,English
Javi Jiménez,32,Elche,ESP,Goalkeeper,29,0,1.5,0,50,0,0,14.86,6.03,0,0,0,0,7,Normal,Spanish
Bernardo Silva,25,Man City,POR,Midfielder,28,1,8.5,1,0,43,82,61.11,44.94,21,45,51,32,0,Good,English
Fabio Borini,28,Sunderland,ITA,Midfielder,33,4,7.3,12,0,27,105,32.92,25.44,43,115,81,48,0,Good,English
Marcos Llorente,25,Espanyol,ESP,Midfielder,28,6,4.7,1,0,74,23,41.16,34.23,4,17,109,72,0,Normal,Spanish
Pape Cheikh,22,Celta,ESP,Midfielder,11,0,5.3,0,0,9,0,41.91,34.24,4,7,33,21,0,Bad,Spanish
Sergio Rico,26,Málaga,ESP,Goalkeeper,31,0,1.4,0,36,0,0,19.06,8.95,0,0,2,1,8,Normal,Spanish
Anaitz Arbilla,32,Espanyol,ESP,Defender,10,0,4.5,0,0,12,0,25.22,17.96,0,2,32,23,0,Bad,Spanish
Zé Gomes,20,Man Utd,POR,Striker,16,1,7.1,15,0,3,38,29.46,23.89,33,57,21,8,0,Good,English
Kiko Casilla,33,Watford,ESP,Goalkeeper,27,0,2.8,0,36,0,0,29.01,18.0,0,0,1,1,6,Normal,English
Florian Thauvin,27,Middlesbrough,FRA,Midfielder,28,5,8.6,0,0,78,67,40.26,27.12,7,18,91,61,0,Good,English
Lee Seung-Woo,22,Girondins de Bordeaux,KOR,Midfielder,7,3,4.9,1,0,6,5,25.46,12.55,3,9,4,3,0,Normal,Other
Bruno César,31,Espanyol,BRA,Midfielder,13,0,4.2,1,0,5,4,37.57,22.71,3,8,20,9,0,Bad,Spanish
Ioannis Fetfatzidis,29,R. Betis,GRE,Midfielder,16,0,5.0,0,0,9,10,40.55,25.13,5,10,27,11,0,Normal,Spanish
Marko Grujic,23,Liverpool,SRB,Midfielder,22,2,8.2,3,0,173,51,66.54,46.92,11,29,97,70,0,Good,English
Diego Costa,31,Everton,ESP,Midfielder,35,2,7.1,11,0,28,64,30.22,21.86,41,93,66,21,0,Normal,English
Alain Oyarzun,26,Rayo,ESP,Midfielder,27,7,4.3,0,0,20,7,24.09,17.82,2,9,29,10,0,Normal,Spanish
Juan Carlos,32,Albacete,ESP,Goalkeeper,22,0,1.5,0,42,0,0,19.23,9.41,0,0,0,0,2,Bad,Spanish
Ulisses Garcia,24,Liverpool,POR,Defender,8,0,7.7,0,0,76,17,48.98,36.59,1,1,51,37,0,Good,English
Léo Bonatini,25,Getafe,BRA,Striker,26,2,4.4,12,0,20,7,22.0,15.43,26,61,16,5,0,Good,Spanish
Íñigo Núñez,20,Athletic,ESP,Midfielder,5,0,4.5,1,0,2,0,33.16,18.95,1,4,5,2,0,Bad,Spanish
Liam Moore,27,Sunderland,JAM,Defender,6,0,6.3,0,0,43,1,38.97,19.59,0,0,16,14,0,Good,English
Mirko Pigliacelli,26,Levante,ITA,Goalkeeper,9,0,1.8,0,13,0,0,17.67,8.0,0,0,0,0,1,Bad,Spanish
Lukas Spendlhofer,26,Stoke,AUT,Defender,21,1,6.9,0,0,162,10,44.01,32.81,0,6,76,68,0,Good,English
Clifford Aboagye,25,Granada,GHA,Midfielder,30,12,4.8,1,0,54,26,40.3,26.14,10,38,30,12,0,Normal,Spanish
Andrea Poli,30,Sunderland,ITA,Midfielder,27,2,8.0,0,0,135,45,52.04,42.38,8,14,114,89,0,Normal,English
Carlos Abad,24,Valencia,ESP,Goalkeeper,41,0,1.6,0,44,0,0,14.15,5.65,0,0,2,1,12,Normal,Spanish
Samu,25,Elche,ESP,Defender,29,3,4.4,1,0,35,9,23.06,15.85,4,22,60,32,0,Bad,Spanish
Jessy Pi,26,Brighton,FRA,Midfielder,29,3,8.0,0,0,147,68,51.85,40.96,3,17,134,99,0,Good,English
Vlad Chiriches,30,Watford,ROU,Defender,10,1,6.3,0,0,86,1,35.44,26.09,0,1,35,28,0,Good,English
Vitolo,30,Sevilla,ESP,Midfielder,28,10,5.1,9,0,23,20,31.89,18.77,27,51,27,13,0,Normal,Spanish
